"run","susceptibility","hh","infRate","detections3Days","importationCount","meanLos","patientDays","patientDaysAtRisk","patientsIsolated","totalAcquisitions","admissionCount","acquirersWhoProgress","totalProgressions","grossInfRate","acquisitionRate","overallHHAdherence","nurseHHAdherence","cnaHHAdherence","doctorHHAdherence","ptHHAdherence","rtHHAdherence","ppeEfficacy","ppeAdherence","scenario","universalPpe","all_cause_isolation","surveillanceSensitivity","surveillanceSpecificity","isSurveillance"
45,0.025,0.0,209.950781787412,186.0,0.0,8.83326756527028,15308.052690613395,8859.219213974462,844.0,1330.0,1751.0,184.0,186.0,121.50467715207934,868.8237667326104,0.40730838211424436,0.41324653593572713,0.43060443427767026,0.2833858175880569,0.4132785627675633,0.44158396384003146,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
55,0.025,0.0,227.17043504766747,199.0,0.0,8.506029752528145,15412.925911580996,8759.942725744377,887.0,1343.0,1830.0,197.0,199.0,129.11240937742713,871.3465617783148,0.4080035520689139,0.4138246694550413,0.4280824157854573,0.28400800188279596,0.4161887187671438,0.4440428713858425,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
65,0.025,0.0,240.39825922468927,207.0,0.0,8.546468091429835,15178.527330379387,8610.71127002324,844.0,1351.0,1794.0,208.0,210.0,138.3533431334218,890.0731741583469,0.40780252093859987,0.41406400357200596,0.426861846534761,0.2852214424721354,0.4123500578831991,0.44361782569456304,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
75,0.025,0.0,232.33696014123237,197.0,0.0,8.61152123187308,14992.658464691032,8479.064195393112,852.0,1339.0,1760.0,198.0,198.0,132.0646371464451,893.1037835307576,0.40860893952507293,0.4146464241994348,0.42980161325485067,0.2845418443888807,0.41344220793725645,0.4448394184008492,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
85,0.025,0.0,236.97129098972087,205.0,0.0,8.71267497469144,15255.893880684713,8650.83694922742,831.0,1380.0,1771.0,204.0,205.0,134.3742959955613,904.5684315798761,0.40833846582234273,0.41485365054447637,0.4277387762177154,0.2799033189883865,0.4107870496135134,0.44890295979973494,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
95,0.025,0.0,213.31583975850754,179.0,0.0,8.381734838659867,14902.724543137243,8391.3130971729,857.0,1333.0,1798.0,180.0,180.0,120.78328327076986,894.4673144440901,0.40749128055936656,0.4133592479170326,0.4330918878701009,0.2811027123165851,0.411761825482323,0.44095650700680106,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
105,0.025,0.0,207.54806355172187,182.0,0.0,8.423554095503743,15330.868453816813,8769.053147761353,806.0,1379.0,1839.0,180.0,183.0,119.36701469409572,899.4924222030492,0.40965769650887324,0.416871592002566,0.4305008318010682,0.28130360205831906,0.4121885988806894,0.44355974170995777,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
115,0.025,0.0,231.38676639985735,202.0,0.0,8.762431177974685,15299.2048367438,8729.97203526003,815.0,1421.0,1766.0,201.0,203.0,132.68663447949848,928.8064413564895,0.4095991234884781,0.4151221059793515,0.4322290798857218,0.2873914064334351,0.4137216670728735,0.44654856444715946,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
125,0.025,0.0,227.0006138024169,195.0,0.0,8.463076082063893,15115.053882566113,8590.285142124309,883.0,1343.0,1805.0,193.0,195.0,129.0104564065864,888.5181689951053,0.40675348960202484,0.41363331994107405,0.43009937861302966,0.280915104422427,0.41516059326195853,0.4347291548845558,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
135,0.025,0.0,186.60153799697133,169.0,0.0,8.48807437905905,15490.735741782768,9056.731354633475,891.0,1333.0,1843.0,168.0,170.0,109.74301210333304,860.5143243161349,0.4063199217704873,0.4119002931878734,0.4298872757577087,0.28177714421477784,0.41474710841011564,0.43866509271555754,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
